"Sanctioned Budget Additionality, Saving and Revised (full FY) with Expenditure FROM [ 01/04/2018 ] TO [ 31/03/2022 ]"
As Per Selected Query Demand and HOA Wise Summary [in Rupees]
DmdCd,HOA,"Sanction Budget
(April)",Addition,Saving,"Revised Budget
(A)","Expenditure
(within selected period) (B)","Balance
(A-B)"
,02-2012-03-110-01-S00N-30-N-C-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),1000.00,0.00,0.00,1000.00,0.00,1000.00
,02-2012-03-800-01-S00N-20-N-C-OTHER CHARGES,80000.00,80000.00,140000.00,20000.00,0.00,20000.00
,02-2012-03-800-02-S00N-20-N-C-OTHER CHARGES,300000.00,100000.00,0.00,400000.00,399551.00,449.00
,02-2012-03-800-03-S00N-20-N-C-OTHER CHARGES,350000.00,1030000.00,170000.00,1210000.00,1099937.00,110063.00
,02-2012-03-800-04-S00N-20-N-C-OTHER CHARGES,100000.00,210000.00,80000.00,230000.00,229806.00,194.00
,02-2012-03-800-06-S00N-20-N-C-OTHER CHARGES,310000.00,200000.00,320000.00,190000.00,0.00,190000.00
,02-2013-00-101-01-S00N-01-N-V-SALARIES,21848000.00,0.00,0.00,21848000.00,17482138.00,4365862.00
,02-2013-00-101-01-S00N-03-N-V-TRAVEL EXPENSES,10742000.00,0.00,4300000.00,6442000.00,4996051.00,1445949.00
,02-2013-00-101-01-S00N-04-N-V-LIVERIES,73000.00,300000.00,0.00,373000.00,320976.00,52024.00
,02-2013-00-101-01-S00N-05-N-V-OFFICE EXPENSES,1950000.00,0.00,0.00,1950000.00,1714276.00,235724.00
,02-2013-00-101-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,795000.00,0.00,0.00,795000.00,620330.00,174670.00
,02-2013-00-101-01-S00N-10-N-V-HOSPITALITY & ENT.EXPENSES,20000000.00,0.00,0.00,20000000.00,19988647.00,11353.00
,02-2013-00-101-01-S00N-17-N-V-EMOULMENTS,45000000.00,0.00,0.00,45000000.00,40924284.00,4075716.00
,02-2013-00-101-01-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,0.00,0.00,1000.00,0.00,1000.00
,02-2013-00-101-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),15000000.00,4200000.00,0.00,19200000.00,19197140.00,2860.00
,02-2013-00-105-01-S00N-20-N-V-OTHER CHARGES,40000000.00,6500000.00,0.00,46500000.00,46496200.00,3800.00
,02-2013-00-105-02-S00N-20-N-V-OTHER CHARGES,900000.00,1200000.00,0.00,2100000.00,2100000.00,0.00
,02-2216-05-053-01-S00N-21-N-V-MAINTENANCE,773000.00,0.00,0.00,773000.00,773000.00,0.00
,02-2216-05-800-01-S00N-21-N-V-MAINTENANCE,7532000.00,0.00,0.00,7532000.00,0.00,7532000.00
,02-2216-05-800-02-S00N-11-N-V-FURNISHINGS,929000.00,0.00,0.00,929000.00,0.00,929000.00
03-ADMINISTRATION OF JUSTICE,Total,2518431000.00,521381068.00,334147538.00,2705664530.00,2303046142.00,402618388.00
,03-2014-00-102-01-S00N-01-N-C-SALARIES,476938000.00,0.00,60000000.00,416938000.00,403143995.00,13794005.00
,03-2014-00-102-01-S00N-02-N-C-WAGES,660000.00,0.00,492000.00,168000.00,168000.00,0.00
,03-2014-00-102-01-S00N-03-N-C-TRAVEL EXPENSES,1322000.00,0.00,400000.00,922000.00,886322.00,35678.00
,03-2014-00-102-01-S00N-04-N-C-LIVERIES,639000.00,387000.00,0.00,1026000.00,1025871.00,129.00
,03-2014-00-102-01-S00N-05-N-C-OFFICE EXPENSES,27776000.00,27500000.00,0.00,55276000.00,27102313.00,28173687.00
,03-2014-00-102-01-S00N-06-N-C-MEDICAL REIMBURSEMENT,7300000.00,0.00,500000.00,6800000.00,6799999.00,1.00
,"03-2014-00-102-01-S00N-07-N-C-RENT, RATES & TAXES",2500000.00,0.00,0.00,2500000.00,2499566.00,434.00
,03-2014-00-102-01-S00N-10-N-C-HOSPITALITY & ENT.EXPENSES,342000.00,0.00,0.00,342000.00,340408.00,1592.00
,03-2014-00-102-01-S00N-11-N-C-FURNISHINGS,1000.00,0.00,1000.00,0.00,0.00,0.00
,03-2014-00-102-01-S00N-12-N-C-PROFESSIONAL & SPECIAL SERVICE,276000.00,600000.00,0.00,876000.00,868200.00,7800.00
,03-2014-00-102-01-S00N-15-N-C-TRAINING,1000.00,0.00,1000.00,0.00,0.00,0.00
,03-2014-00-102-01-S00N-20-N-C-OTHER CHARGES,3200000.00,0.00,400000.00,2800000.00,2791900.00,8100.00
,03-2014-00-102-01-S00N-27-N-C-MOTOR VEHICLES (Purchase),1000.00,24089611.00,0.00,24090611.00,24088572.00,2039.00
,03-2014-00-102-01-S00N-28-N-C-SUMPTUARY ALLOWANCE,828000.00,0.00,0.00,828000.00,722184.00,105816.00
,03-2014-00-102-01-S00N-30-N-C-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),4937000.00,0.00,0.00,4937000.00,4936802.00,198.00
,03-2014-00-102-01-S00N-64-N-C-TRANSFER EXPENSES,334000.00,680000.00,0.00,1014000.00,966607.00,47393.00
,03-2014-00-102-01-S00N-65-N-C-REMUNERATION TO OUTSOURCE EMPLOYEES,1500000.00,0.00,146000.00,1354000.00,1340359.00,13641.00
,03-2014-00-102-01-S00N-99-N-C-HONORARIUM,411000.00,0.00,200000.00,211000.00,203140.00,7860.00
,03-2014-00-102-05-S00N-05-N-V-OFFICE EXPENSES,1000.00,15530061.00,11500000.00,4031061.00,2330144.00,1700917.00
,03-2014-00-105-01-S00N-01-N-V-SALARIES,1331459000.00,0.00,205959000.00,1125500000.00,1119822241.00,5677759.00
,03-2014-00-105-01-S00N-02-N-V-WAGES,5317000.00,0.00,920000.00,4397000.00,4395456.00,1544.00
,03-2014-00-105-01-S00N-03-N-V-TRAVEL EXPENSES,7500000.00,0.00,3500000.00,4000000.00,3999674.00,326.00
,03-2014-00-105-01-S00N-04-N-V-LIVERIES,1644000.00,0.00,0.00,1644000.00,1643855.00,145.00
,03-2014-00-105-01-S00N-05-N-V-OFFICE EXPENSES,47609000.00,49623122.00,0.00,97232122.00,64732078.00,32500044.00
,03-2014-00-105-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,15663000.00,0.00,0.00,15663000.00,15655167.00,7833.00
,"03-2014-00-105-01-S00N-07-N-V-RENT, RATES & TAXES",2298000.00,336000.00,0.00,2634000.00,2634000.00,0.00
,03-2014-00-105-01-S00N-11-N-V-FURNISHINGS,300000.00,0.00,300000.00,0.00,0.00,0.00
,03-2014-00-105-01-S00N-12-N-V-PROFESSIONAL & SPECIAL SERVICE,56000.00,0.00,0.00,56000.00,17500.00,38500.00
,03-2014-00-105-01-S00N-15-N-V-TRAINING,100000.00,0.00,100000.00,0.00,0.00,0.00
,03-2014-00-105-01-S00N-20-N-V-OTHER CHARGES,100000.00,0.00,0.00,100000.00,55000.00,45000.00
,03-2014-00-105-01-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,531600.00,0.00,532600.00,0.00,532600.00
,03-2014-00-105-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),6137000.00,500000.00,0.00,6637000.00,6636615.00,385.00
,03-2014-00-105-01-S00N-64-N-V-TRANSFER EXPENSES,3000000.00,2390000.00,0.00,5390000.00,5388783.00,1217.00
,03-2014-00-105-01-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,2300000.00,500000.00,0.00,2800000.00,2797534.00,2466.00
,03-2014-00-105-01-S00N-99-N-V-HONORARIUM,550000.00,0.00,251000.00,299000.00,298500.00,500.00
,03-2014-00-105-06-S00N-20-N-V-OTHER CHARGES,1000.00,0.00,1000.00,0.00,0.00,0.00
,03-2014-00-105-07-C90N-01-N-V-SALARIES,0.00,13532000.00,7460000.00,6072000.00,5600760.00,471240.00
,03-2014-00-105-07-C90N-02-N-V-WAGES,0.00,1000.00,1000.00,0.00,0.00,0.00
,03-2014-00-105-07-C90N-03-N-V-TRAVEL EXPENSES,0.00,300000.00,300000.00,0.00,0.00,0.00
,03-2014-00-105-07-C90N-04-N-V-LIVERIES,0.00,1000.00,1000.00,0.00,0.00,0.00
,03-2014-00-105-07-C90N-05-N-V-OFFICE EXPENSES,0.00,450000.00,200000.00,250000.00,154468.00,95532.00
,03-2014-00-105-07-C90N-06-N-V-MEDICAL REIMBURSEMENT,0.00,250000.00,230000.00,20000.00,0.00,20000.00
,"03-2014-00-105-07-C90N-07-P-V-RENT, RATES & TAXES",0.00,1000.00,1000.00,0.00,0.00,0.00
,03-2014-00-105-07-C90N-11-N-V-FURNISHINGS,0.00,1000.00,1000.00,0.00,0.00,0.00
,03-2014-00-105-07-C90N-20-N-V-OTHER CHARGES,0.00,550000.00,0.00,550000.00,550000.00,0.00
,03-2014-00-105-07-C90N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),0.00,300000.00,0.00,300000.00,298962.00,1038.00
,03-2014-00-105-07-C90N-64-N-V-TRANSFER EXPENSES,0.00,201000.00,0.00,201000.00,188060.00,12940.00
,03-2014-00-105-07-S10N-01-P-V-SALARIES,0.00,1368000.00,9551.00,1358449.00,1358449.00,0.00
,03-2014-00-105-07-S10N-03-P-V-TRAVEL EXPENSES,0.00,50000.00,50000.00,0.00,0.00,0.00
,03-2014-00-105-07-S10N-05-P-V-OFFICE EXPENSES,0.00,75000.00,137.00,74863.00,74863.00,0.00
,03-2014-00-105-07-S10N-20-N-V-OTHER CHARGES,0.00,125000.00,0.00,125000.00,125000.00,0.00
,03-2014-00-105-07-S10N-30-P-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),0.00,50000.00,0.00,50000.00,48900.00,1100.00
,03-2014-00-108-01-S00N-20-N-V-OTHER CHARGES,9000000.00,0.00,2000000.00,7000000.00,6999984.00,16.00
,03-2014-00-114-01-S00N-01-N-V-SALARIES,107750000.00,5584818.00,30000000.00,83334818.00,83334818.00,0.00
,03-2014-00-114-01-S00N-02-N-V-WAGES,900000.00,0.00,620474.00,279526.00,279526.00,0.00
,03-2014-00-114-01-S00N-03-N-V-TRAVEL EXPENSES,200000.00,0.00,175000.00,25000.00,10388.00,14612.00
,03-2014-00-114-01-S00N-05-N-V-OFFICE EXPENSES,3545000.00,600000.00,0.00,4145000.00,4142814.00,2186.00
,03-2014-00-114-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,751000.00,50000.00,0.00,801000.00,800507.00,493.00
,"03-2014-00-114-01-S00N-07-N-V-RENT, RATES & TAXES",1000.00,0.00,0.00,1000.00,0.00,1000.00
,03-2014-00-114-01-S00N-09-N-V-ADVERTISING & PUBLICITY,1000.00,0.00,0.00,1000.00,0.00,1000.00
,03-2014-00-114-01-S00N-12-N-V-PROFESSIONAL & SPECIAL SERVICE,12000000.00,1000000.00,0.00,13000000.00,12998919.00,1081.00
,03-2014-00-114-01-S00N-15-N-V-TRAINING,1000.00,0.00,0.00,1000.00,0.00,1000.00
,03-2014-00-114-01-S00N-20-N-V-OTHER CHARGES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,03-2014-00-114-01-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,0.00,0.00,1000.00,0.00,1000.00
,03-2014-00-114-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),705000.00,0.00,0.00,705000.00,665176.00,39824.00
,03-2014-00-114-01-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,2033000.00,85000.00,0.00,2118000.00,2117498.00,502.00
,03-2014-00-114-02-S00N-01-N-V-SALARIES,202116000.00,0.00,0.00,202116000.00,180643322.00,21472678.00
,03-2014-00-114-02-S00N-02-N-V-WAGES,2878000.00,0.00,1800000.00,1078000.00,922850.00,155150.00
,03-2014-00-114-02-S00N-03-N-V-TRAVEL EXPENSES,953000.00,200000.00,0.00,1153000.00,1084434.00,68566.00
,03-2014-00-114-02-S00N-04-N-V-LIVERIES,176000.00,100000.00,0.00,276000.00,243950.00,32050.00
,03-2014-00-114-02-S00N-05-N-V-OFFICE EXPENSES,10352000.00,0.00,1000000.00,9352000.00,8036368.00,1315632.00
,03-2014-00-114-02-S00N-06-N-V-MEDICAL REIMBURSEMENT,4700000.00,0.00,1000000.00,3700000.00,2924135.00,775865.00
,"03-2014-00-114-02-S00N-07-N-V-RENT, RATES & TAXES",240000.00,165000.00,0.00,405000.00,386490.00,18510.00
,03-2014-00-114-02-S00N-08-N-V-PUBLICATIONS,24000.00,0.00,0.00,24000.00,0.00,24000.00
,03-2014-00-114-02-S00N-10-N-V-HOSPITALITY & ENT.EXPENSES,25000.00,0.00,0.00,25000.00,22080.00,2920.00
,03-2014-00-114-02-S00N-12-N-V-PROFESSIONAL & SPECIAL SERVICE,2036000.00,5500000.00,0.00,7536000.00,7406172.00,129828.00
,03-2014-00-114-02-S00N-15-N-V-TRAINING,80000.00,1800000.00,0.00,1880000.00,1353315.00,526685.00
,03-2014-00-114-02-S00N-20-N-V-OTHER CHARGES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,03-2014-00-114-02-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,0.00,0.00,1000.00,0.00,1000.00
,03-2014-00-114-02-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),560000.00,200000.00,0.00,760000.00,714365.00,45635.00
,03-2014-00-114-02-S00N-64-N-V-TRANSFER EXPENSES,48000.00,0.00,0.00,48000.00,47742.00,258.00
,03-2014-00-114-02-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,1474000.00,2300000.00,0.00,3774000.00,3339234.00,434766.00
,03-2014-00-114-03-S00N-01-N-V-SALARIES,17077000.00,0.00,1000000.00,16077000.00,13962743.00,2114257.00
,03-2014-00-114-03-S00N-03-N-V-TRAVEL EXPENSES,86000.00,0.00,0.00,86000.00,19561.00,66439.00
,03-2014-00-114-03-S00N-05-N-V-OFFICE EXPENSES,8000000.00,0.00,2100000.00,5900000.00,3446020.00,2453980.00
,03-2014-00-114-03-S00N-06-N-V-MEDICAL REIMBURSEMENT,118000.00,220000.00,0.00,338000.00,337304.00,696.00
,"03-2014-00-114-03-S00N-07-N-V-RENT, RATES & TAXES",61000.00,0.00,0.00,61000.00,20003.00,40997.00
,03-2014-00-114-03-S00N-09-N-V-ADVERTISING & PUBLICITY,67000.00,0.00,0.00,67000.00,0.00,67000.00
,03-2014-00-114-03-S00N-10-N-V-HOSPITALITY & ENT.EXPENSES,500000.00,50000.00,0.00,550000.00,533249.00,16751.00
,03-2014-00-114-03-S00N-15-N-V-TRAINING,1000.00,0.00,0.00,1000.00,0.00,1000.00
,03-2014-00-114-03-S00N-20-N-V-OTHER CHARGES,473000.00,0.00,0.00,473000.00,5950.00,467050.00
,03-2014-00-114-03-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,2268080.00,0.00,2269080.00,2236117.00,32963.00
,03-2014-00-114-03-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),668000.00,200000.00,0.00,868000.00,865119.00,2881.00
,03-2014-00-114-03-S00N-64-N-V-TRANSFER EXPENSES,66000.00,190000.00,0.00,256000.00,226211.00,29789.00
,03-2014-00-114-03-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,2000000.00,84000.00,0.00,2084000.00,2077113.00,6887.00
,03-2014-00-114-03-S00N-99-N-V-HONORARIUM,122000.00,0.00,0.00,122000.00,121800.00,200.00
,03-2014-00-800-02-S00N-01-N-V-SALARIES,51365000.00,0.00,0.00,51365000.00,46237767.00,5127233.00
,03-2014-00-800-02-S00N-02-N-V-WAGES,1970000.00,300000.00,0.00,2270000.00,2260237.00,9763.00
,03-2014-00-800-02-S00N-03-N-V-TRAVEL EXPENSES,853000.00,0.00,0.00,853000.00,128379.00,724621.00
,03-2014-00-800-02-S00N-05-N-V-OFFICE EXPENSES,1451000.00,341000.00,0.00,1792000.00,1770242.00,21758.00
,03-2014-00-800-02-S00N-06-N-V-MEDICAL REIMBURSEMENT,128000.00,150000.00,0.00,278000.00,244837.00,33163.00
,"03-2014-00-800-02-S00N-07-N-V-RENT, RATES & TAXES",1292000.00,0.00,0.00,1292000.00,865805.00,426195.00
,03-2014-00-800-02-S00N-08-N-V-PUBLICATIONS,4000.00,0.00,0.00,4000.00,2110.00,1890.00
,03-2014-00-800-02-S00N-15-N-V-TRAINING,1000.00,0.00,0.00,1000.00,0.00,1000.00
,03-2014-00-800-02-S00N-20-N-V-OTHER CHARGES,1000.00,0.00,1000.00,0.00,0.00,0.00
,03-2014-00-800-02-S00N-21-N-V-MAINTENANCE,1000.00,0.00,1000.00,0.00,0.00,0.00
,03-2014-00-800-02-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,0.00,1000.00,0.00,0.00,0.00
,03-2014-00-800-02-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),614000.00,400000.00,0.00,1014000.00,974571.00,39429.00
,03-2014-00-800-02-S00N-64-N-V-TRANSFER EXPENSES,105000.00,600000.00,0.00,705000.00,677284.00,27716.00
,03-2014-00-800-02-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,1100000.00,900000.00,0.00,2000000.00,1964124.00,35876.00
,03-2014-00-800-02-S00N-99-N-V-HONORARIUM,1848000.00,0.00,1000000.00,848000.00,169750.00,678250.00
,03-2014-00-800-04-S00N-20-N-V-OTHER CHARGES,20000000.00,2500000.00,0.00,22500000.00,22415000.00,85000.00
,03-2059-01-053-38-S00N-21-N-V-MAINTENANCE,12221000.00,593400.00,0.00,12814400.00,0.00,12814400.00
,03-2059-01-053-48-S00N-21-N-V-MAINTENANCE,152000.00,0.00,0.00,152000.00,152000.00,0.00
,03-2059-01-053-57-S00N-21-N-V-MAINTENANCE,152000.00,0.00,152000.00,0.00,0.00,0.00
,03-2059-01-053-58-S00N-21-N-V-MAINTENANCE,152000.00,0.00,0.00,152000.00,0.00,152000.00
,03-2059-01-053-86-S00N-21-N-V-MAINTENANCE,152000.00,0.00,0.00,152000.00,152000.00,0.00
,03-2062-00-103-01-S00N-01-N-C-SALARIES,24660000.00,0.00,0.00,24660000.00,18504538.00,6155462.00
,03-2062-00-103-01-S00N-03-N-C-TRAVEL EXPENSES,95000.00,0.00,0.00,95000.00,11450.00,83550.00
,03-2062-00-103-01-S00N-05-N-C-OFFICE EXPENSES,1400000.00,0.00,0.00,1400000.00,711320.00,688680.00
,03-2062-00-103-01-S00N-06-N-C-MEDICAL REIMBURSEMENT,608000.00,0.00,0.00,608000.00,186032.00,421968.00
,03-2062-00-103-01-S00N-08-N-C-PUBLICATIONS,35000.00,0.00,0.00,35000.00,0.00,35000.00
,03-2062-00-103-01-S00N-11-N-C-FURNISHINGS,79000.00,0.00,0.00,79000.00,0.00,79000.00
,03-2062-00-103-01-S00N-30-N-C-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),1000000.00,0.00,71376.00,928624.00,430613.00,498011.00
,03-2062-00-103-01-S00N-64-N-C-TRANSFER EXPENSES,1000.00,0.00,1000.00,0.00,0.00,0.00
,03-2062-00-103-01-S00N-65-N-C-REMUNERATION TO OUTSOURCE EMPLOYEES,0.00,71376.00,0.00,71376.00,71376.00,0.00
,03-2070-00-105-04-S00N-01-N-V-SALARIES,4846000.00,4000000.00,0.00,8846000.00,8295871.00,550129.00
,03-2070-00-105-04-S00N-02-N-V-WAGES,100000.00,1100000.00,0.00,1200000.00,1134476.00,65524.00
